
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
68,Shannon Brown,SG,28,SAS,10,103,-0.5,.360,.286,.321,.071,1.1,12.6,7.1,6.4,0.5,0.0,20.0,17.5,68,107,-0.3,0.1,-0.2,-0.102
68,Shannon Brown,SG,28,NYK,19,148,8.4,.462,.421,.316,.000,4.6,7.4,6.0,4.1,4.3,0.0,18.8,16.7,85,107,-0.2,0.2,0.0,-0.013
69,Kobe Bryant,SG,35,LAL,6,177,10.7,.505,.445,.288,.219,1.2,14.5,7.8,34.6,1.9,0.4,29.2,28.7,84,111,-0.5,0.1,-0.4,-0.097
70,Chase Budinger,SF,25,MIN,41,751,9.7,.505,.476,.154,.472,2.7,12.5,7.5,6.2,1.2,0.2,8.1,16.7,103,109,0.3,0.6,0.9,.059
71,Reggie Bullock,SF,22,LAC,43,395,6.7,.460,.446,.074,.603,3.2,11.7,7.6,4.3,1.1,0.2,9.4,15.4,93,108,-0.2,0.3,0.2,.019
72,Trey Burke,PG,21,UTA,70,2262,12.6,.473,.442,.126,.375,1.8,9.0,5.3,29.4,1.0,0.2,12.2,21.8,101,115,1.0,0.0,0.9,.020
73,Alec Burks,SG,22,UTA,78,2193,15.8,.547,.487,.449,.172,3.0,10.7,6.8,16.9,1.7,0.5,13.0,23.9,106,113,2.6,0.6,3.2,.070
74,Caron Butler,SF,33,TOT,56,1419,12.2,.512,.485,.139,.461,1.7,16.8,9.2,9.6,1.7,1.0,9.5,20.1,102,108,0.6,1.2,1.8,.062
74,Caron Butler,SF,33,MIL,34,821,12.4,.494,.462,.158,.415,2.2,20.5,11.0,11.9,1.5,1.1,12.1,23.7,96,110,-0.2,0.5,0.2,.014
74,Caron Butler,SF,33,OKC,22,598,11.9,.548,.530,.102,.548,1.0,11.9,6.7,6.4,2.0,0.8,4.0,15.0,115,105,0.9,0.7,1.6,.127
75,Jimmy Butler,SG,24,CHI,67,2591,13.5,.522,.446,.488,.346,3.9,10.5,7.2,11.1,2.6,1.1,10.8,16.8,108,100,2.4,4.6,7.1,.131
76,Rasual Butler,SG,34,IND,50,378,12.2,.585,.582,.127,.564,1.9,9.9,6.1,7.4,1.0,1.8,8.7,15.4,113,102,0.5,0.6,1.1,.138
77,Dwight Buycks,PG,24,TOR,14,146,7.2,.414,.365,.188,.354,3.2,15.2,9.2,10.6,2.9,0.0,16.1,19.3,84,103,-0.2,0.2,0.0,-0.009
78,Andrew Bynum,C,26,TOT,26,516,15.2,.456,.418,.218,.000,11.4,20.3,15.8,9.7,0.6,4.7,12.1,24.3,95,105,-0.2,0.6,0.4,.038
78,Andrew Bynum,C,26,CLE,24,480,14.8,.456,.419,.207,.000,10.7,18.9,14.7,9.6,0.6,4.9,11.9,23.4,96,106,-0.2,0.5,0.4,.036
78,Andrew Bynum,C,26,IND,2,36,19.9,.459,.409,.318,.000,19.7,38.8,29.7,11.2,0.0,2.1,13.8,36.9,93,95,0.0,0.1,0.0,.063
79,Will Bynum,PG,31,DET,56,1054,14.4,.502,.451,.281,.144,2.4,8.2,5.1,32.5,1.9,0.5,17.6,23.8,102,112,0.6,0.4,1.0,.047
80,Nick Calathes,SG,24,MEM,71,1173,12.3,.506,.487,.232,.196,2.3,11.5,6.9,26.5,3.0,0.6,22.8,17.5,97,104,-0.1,1.6,1.5,.062
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
81,Jose Calderon,SG,32,DAL,81,2468,15.2,.596,.584,.084,.568,1.4,7.6,4.5,22.4,1.4,0.4,11.7,16.2,120,112,5.4,0.8,6.3,.122
82,Kentavious Caldwell-Pope,SG,20,DET,80,1583,9.4,.483,.460,.133,.402,2.5,8.6,5.4,5.0,2.4,0.6,5.4,13.9,106,111,1.0,0.8,1.8,.055
83,Isaiah Canaan,PG,22,HOU,22,252,9.5,.506,.460,.333,.632,3.3,7.1,5.3,13.2,1.6,1.2,17.4,21.0,97,109,0.0,0.2,0.2,.031
84,DeMarre Carroll,SF,27,ATL,73,2341,13.9,.575,.546,.220,.417,5.3,14.5,10.0,8.9,2.3,0.7,10.1,15.2,113,106,3.2,2.6,5.8,.119
85,Vince Carter,SG,37,DAL,81,1973,15.9,.539,.497,.242,.457,4.0,12.6,8.3,16.5,1.6,1.5,10.7,23.1,109,110,3.0,1.3,4.3,.105
86,Michael Carter-Williams,PG,22,PHI,70,2414,15.5,.480,.431,.348,.197,4.3,15.6,9.8,30.2,2.6,1.4,16.9,25.7,96,108,-0.8,2.1,1.3,.026
87,Omri Casspi,PF,25,HOU,71,1283,12.9,.528,.496,.298,.429,5.1,16.8,11.3,10.5,1.7,0.8,13.4,18.3,105,106,1.0,1.4,2.4,.091
88,Mario Chalmers,PG,27,MIA,73,2178,14.0,.567,.531,.291,.404,2.5,9.6,6.2,24.3,2.9,0.6,20.4,17.4,108,106,2.4,2.5,4.8,.106
89,Tyson Chandler,C,31,NYK,55,1662,16.4,.615,.593,.481,.003,10.9,27.0,18.7,5.5,1.2,3.4,15.4,12.9,120,106,3.1,1.9,4.9,.143
90,Wilson Chandler,SF,26,DEN,62,1927,12.4,.526,.499,.206,.476,3.2,13.3,8.2,9.3,1.2,1.2,8.9,19.5,107,110,1.8,1.2,3.1,.076
91,Josh Childress,SF,30,NOP,4,24,3.9,,,,,0.0,14.7,7.3,10.7,2.2,0.0,100.0,1.9,68,111,0.0,0.0,0.0,-0.003
92,Dionte Christmas,SF,27,PHO,31,198,11.1,.489,.427,.387,.500,7.4,14.1,10.8,5.8,0.5,1.1,7.6,17.4,109,110,0.2,0.1,0.3,.083
93,Earl Clark,PF,26,TOT,54,768,9.1,.466,.450,.130,.467,3.2,18.2,10.5,3.7,1.1,2.8,10.1,17.9,92,107,-0.4,0.8,0.3,.020
93,Earl Clark,PF,26,CLE,45,698,8.6,.467,.458,.100,.483,3.1,17.6,10.2,3.6,1.2,2.3,10.7,17.9,91,107,-0.5,0.7,0.2,.014
93,Earl Clark,PF,26,NYK,9,70,13.5,.453,.357,.476,.286,3.3,24.2,13.4,4.3,0.8,7.6,3.8,17.5,102,105,0.0,0.1,0.1,.080
94,Ian Clark,SG,22,UTA,23,172,9.2,.485,.470,.104,.463,1.9,11.1,6.4,14.7,2.4,0.9,16.7,22.4,90,111,-0.2,0.1,-0.1,-0.025
95,Victor Claver,SF,25,POR,21,184,8.8,.502,.440,.262,.429,5.3,17.4,11.4,9.1,0.8,1.1,19.0,13.7,99,108,0.0,0.2,0.2,.047
96,Norris Cole,PG,25,MIA,82,2014,8.8,.497,.474,.136,.348,1.1,8.6,5.0,17.9,2.0,0.2,19.3,15.6,96,108,-0.5,1.7,1.2,.029
97,Jason Collins,C,35,BRK,22,172,4.1,.485,.458,.167,.125,4.9,8.3,6.6,3.5,2.4,0.5,21.4,8.9,91,109,-0.1,0.1,0.1,.017
98,Darren Collison,PG,26,LAC,80,2069,16.2,.575,.518,.323,.272,2.6,7.3,5.0,21.9,2.2,0.6,14.3,19.7,113,107,3.8,2.0,5.9,.136
99,Nick Collison,PF,33,OKC,81,1353,11.8,.599,.564,.386,.071,10.2,14.1,12.2,10.9,1.1,1.7,20.1,11.6,117,106,2.0,1.6,3.6,.128
100,Mike Conley,PG,26,MEM,73,2446,20.0,.545,.500,.268,.283,2.0,8.4,5.2,30.1,2.4,0.4,11.5,24.6,113,106,5.5,2.7,8.2,.161
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
101,Chris Copeland,SF,29,IND,41,265,17.6,.621,.611,.120,.675,3.1,10.1,6.8,12.6,0.6,2.0,10.2,23.7,116,103,0.6,0.4,1.0,.186
102,DeMarcus Cousins,C,23,SAC,71,2298,26.1,.555,.496,.500,.006,10.6,30.5,20.4,17.8,2.4,3.2,14.7,32.7,107,101,4.1,3.8,7.9,.166
103,Robert Covington,SF,23,HOU,7,34,15.0,.571,.571,.000,.786,6.9,9.3,8.2,0.0,2.9,0.0,6.7,19.3,112,106,0.1,0.0,0.1,.122
104,Allen Crabbe,SG,21,POR,15,100,7.7,.475,.455,.121,.424,1.1,8.5,4.8,8.7,1.0,0.7,7.9,16.5,100,110,0.0,0.1,0.1,.037
105,Jamal Crawford,SG,33,LAC,69,2094,17.3,.556,.496,.318,.441,1.9,6.4,4.2,17.4,1.4,0.4,10.5,27.2,110,109,3.8,1.5,5.3,.122
106,Jordan Crawford,SG,25,TOT,81,1859,14.3,.516,.472,.214,.362,1.7,9.5,5.5,25.1,1.3,0.2,13.4,23.7,104,109,1.5,1.4,2.8,.073
106,Jordan Crawford,SG,25,BOS,39,1198,15.7,.525,.468,.277,.345,1.7,10.0,5.7,31.0,1.5,0.2,14.1,22.0,108,110,1.7,0.7,2.4,.096
106,Jordan Crawford,SG,25,GSW,42,661,11.9,.503,.477,.129,.384,1.7,8.6,5.2,14.2,1.0,0.2,12.4,26.8,96,107,-0.2,0.7,0.4,.033
